latitude	longitude,altitude,geometry,rmcSite,rmcDrive,rmcPose,firstSol,lastSol,xCorrected,yCorrected
-14.56694586523195,175.48627407588745,,Point,34,0,0,109,109,-813.6,-863451.31
-14.567713983871137,175.48738719839596,,Point,35,0,0,110,111,-747.62,-863496.84
-14.568164260314802,175.4881360845456,,Point,36,0,0,111,112,-703.23,-863523.53
-14.568899481274519,175.489050808741,,Point,37,0,0,112,113,-649.01,-863567.11
-14.569345033948823,175.49044313975998,,Point,38,0,0,116,117,-566.48,-863593.52
-14.56949147079899,175.49102939327878,,Point,39,0,0,117,118,-531.73,-863602.2
-14.57036553683669,175.49221067303094,,Point,40,0,0,118,120,-461.71,-863654.01
-14.570453770100098,175.4922909771101,,Point,41,0,0,120,121,-456.95,-863659.24
-14.571699158150725,175.49246727493085,,Point,42,0,0,-1,-1,-446.5,-863733.06
-14.572584864905776,175.49365176009795,,Point,43,0,0,122,123,-376.29,-863785.56
-14.573780822084165,175.49596269555138,,Point,45,0,0,124,125,-239.31,-863856.45
-14.57525008306126,175.49719812994516,,Point,46,0,0,125,126,-166.08,-863943.54
-14.575651097338737,175.49789994710727,,Point,47,0,0,126,127,-124.48,-863967.31
-14.575598292345532,175.49891758199232,,Point,48,0,0,127,128,-64.16,-863964.18
-14.576268730182594,175.50020008537362,,Point,49,0,0,128,129,11.86,-864003.92
-14.576503231590118,175.50073606448996,,Point,50,0,0,129,130,43.63,-864017.82
-14.576818543194918,175.50139148748872,,Point,51,0,0,130,131,82.48,-864036.51
-14.576955869918464,175.50157891990867,,Point,52,0,0,132,133,93.59,-864044.65
-14.57787042540782,175.50295016267154,,Point,53,0,0,133,134,174.87,-864098.86
-14.578790885608882,175.50443376366275,,Point,54,0,0,134,135,262.81,-864153.42
-14.57937966971843,175.50513828012163,,Point,55,0,0,142,143,304.57,-864188.32
-14.579911768595654,175.50615405924015,,Point,56,0,0,143,144,364.78,-864219.86
-14.580780267333749,175.5078082220465,,Point,58,0,0,145,146,462.83,-864271.34
-14.582141050321605,175.51029343084812,,Point,61,0,0,-1,-1,610.14,-864352
-14.582141050321605,175.51029343084812,,Point,62,0,0,150,151,610.14,-864352
-14.582856701379688,175.51120208162578,,Point,63,0,0,151,152,664,-864394.42
-14.58419285328445,175.51299424597985,,Point,65,0,0,153,154,770.23,-864473.62
-14.584469531204123,175.5136624906383,,Point,66,0,0,154,155,809.84,-864490.02
-14.584752451247592,175.51392769654666,,Point,67,0,0,155,156,825.56,-864506.79
-14.584975311937768,175.51450298417234,,Point,68,0,0,156,157,859.66,-864520
-14.585013945622894,175.5145411117393,,Point,69,0,0,159,161,861.92,-864522.29
-14.584899562921956,175.51444815470654,,Point,70,0,0,182,183,856.41,-864515.51
-14.584758187253245,175.5144351643408,,Point,71,0,0,188,189,855.64,-864507.13
-14.584594879798217,175.51446350695696,,Point,72,0,0,189,190,857.32,-864497.45
-14.584393107364114,175.51446553142952,,Point,73,0,0,190,191,857.44,-864485.49
-14.584275350542205,175.51458025154258,,Point,74,0,0,191,192,864.24,-864478.51
-14.584443887884737,175.5148255501372,,Point,75,0,0,192,193,878.78,-864488.5
-14.584421956098423,175.51482571884327,,Point,76,0,0,193,194,878.79,-864487.2
-14.584696272133414,175.51487329394897,,Point,77,0,0,200,201,881.61,-864503.46
-14.584746883947988,175.51485996617112,,Point,78,0,0,201,202,880.82,-864506.46
-14.58511550666414,175.51498548347126,,Point,79,0,0,202,203,888.26,-864528.31
-14.585327232755107,175.51509480499075,,Point,80,0,0,203,204,894.74,-864540.86
-14.585330944288177,175.51509176828185,,Point,81,0,0,204,205,894.56,-864541.08
-14.585421708142313,175.51513512573635,,Point,82,0,0,206,206,897.13,-864546.46
-14.5854112483673,175.5151428862146,,Point,83,0,0,206,206,897.59,-864545.84
-14.585396402235027,175.51518202601787,,Point,84,0,0,209,210,899.91,-864544.96
-14.585413441545933,175.5151848940207,,Point,85,0,0,210,212,900.08,-864545.97
-14.585421876848361,175.51524799008286,,Point,86,0,0,227,228,903.82,-864546.47
-14.58543874745322,175.51538244880356,,Point,87,0,0,239,239,911.79,-864547.47
-14.585423732614895,175.51540573023829,,Point,88,0,0,239,240,913.17,-864546.58
-14.585289105188128,175.51542057637056,,Point,89,0,0,265,266,914.05,-864538.6
-14.585057471783427,175.51585060808839,,Point,90,0,0,306,310,939.54,-864524.87
