latitude	longitude	altitude	geometry	rmcSite	rmcDrive	rmcPose	firstSol	lastSol	xCorrected	yCorrected
-14.56477343744437	175.47716361185195		Point	9	167	112	50	50	-1353.62	-863322.54
-14.564355215149936	175.47754016375237		Point	10	116	0	51	51	-1331.3	-863297.75
-14.564258715290148	175.47760579040528		Point	11	0	21	52	52	-1327.41	-863292.03
-14.564204560648554	175.47763008407628		Point	11	24	0	53	54	-1325.97	-863288.82
-14.564204560648554	175.47763008407628		Point	11	24	52	54	54	-1325.97	-863288.82
-14.564177736386828	175.4776957107292		Point	11	45	19	55	55	-1322.08	-863287.23
-14.56417857991707	175.4776953733171		Point	11	55	0	56	57	-1322.1	-863287.28
-14.56417857991707	175.4776953733171		Point	11	55	23	57	59	-1322.1	-863287.28
-14.56417857991707	175.4776953733171		Point	11	55	73	59	60	-1322.1	-863287.28
-14.56417857991707	175.4776953733171		Point	11	55	111	60	60	-1322.1	-863287.28
-14.563843529704592	175.47798689736902		Point	12	0	0	61	62	-1304.82	-863267.42
-14.563613752066425	175.47825682704675		Point	12	160	0	62	62	-1288.82	-863253.8
-14.563605485470044	175.47826796164597		Point	13	0	23	63	63	-1288.16	-863253.31
-14.563097174145668	175.47897517740162		Point	14	180	0	64	64	-1246.24	-863223.18
-14.563097174145668	175.47897517740162		Point	15	0	31	65	65	-1246.24	-863223.18
-14.562612144255995	175.4794011601743		Point	17	0	0	66	67	-1220.99	-863194.43
-14.562571823510387	175.47955383914825		Point	17	144	0	67	67	-1211.94	-863192.04
-14.562564906562393	175.47956564857165		Point	18	0	31	70	71	-1211.24	-863191.63
-14.562858792499023	175.4795713845773		Point	18	110	0	71	71	-1210.9	-863209.05
-14.562851369432884	175.47958842388823		Point	19	57	0	72	72	-1209.89	-863208.61
-14.562841753188115	175.47960040201764		Point	20	0	40	73	74	-1209.18	-863208.04
-14.562841753188115	175.47960040201764		Point	20	0	76	74	74	-1209.18	-863208.04
-14.563237537578088	175.4803138598971		Point	21	186	0	75	75	-1166.89	-863231.5
-14.563244285820032	175.48032634414471		Point	22	0	16	76	76	-1166.15	-863231.9
-14.563307550588249	175.4803926456218		Point	22	24	30	77	77	-1162.22	-863235.65
-14.563301139758403	175.48040631081173		Point	22	32	16	78	79	-1161.41	-863235.27
-14.563301139758403	175.48040631081173		Point	22	32	60	79	80	-1161.41	-863235.27
-14.563301139758403	175.48040631081173		Point	22	32	125	80	81	-1161.41	-863235.27
-14.563301139758403	175.48040631081173		Point	22	32	171	81	81	-1161.41	-863235.27
-14.563301139758403	175.48040631081173		Point	22	32	201	82	82	-1161.41	-863235.27
-14.563301139758403	175.48040631081173		Point	22	32	306	83	85	-1161.41	-863235.27
-14.563301139758403	175.48040631081173		Point	22	32	321	85	85	-1161.41	-863235.27
-14.563301139758403	175.48040631081173		Point	22	32	394	86	86	-1161.41	-863235.27
-14.563488909590474	175.48014076749126		Point	22	300	0	87	87	-1177.15	-863246.4
-14.563704684626607	175.48001913043024		Point	23	164	0	88	88	-1184.36	-863259.19
-14.56372695382502	175.4800324582081		Point	24	0	16	89	89	-1183.57	-863260.51
-14.564278116485736	175.48071706735323		Point	25	104	0	90	90	-1142.99	-863293.18
-14.564290938145428	175.48073326313389		Point	26	6	0	91	91	-1142.03	-863293.94
-14.564299710859952	175.48074220455445		Point	27	0	38	93	93	-1141.5	-863294.46
-14.564299710859952	175.48074220455445		Point	27	0	131	99	100	-1141.5	-863294.46
-14.564299710859952	175.48074220455445		Point	27	0	141	100	100	-1141.5	-863294.46
-14.565078964098351	175.48213858451854		Point	28	170	0	101	101	-1058.73	-863340.65
-14.56584016578955	175.48325255055735		Point	29	224	0	103	103	-992.7	-863385.77
-14.56642372001159	175.4834033737648		Point	30	0	10	105	105	-983.76	-863420.36
-14.566819166989465	175.4845939323496		Point	31	376	0	107	107	-913.19	-863443.8
-14.56686471762258	175.48539764796504		Point	32	258	0	108	108	-865.55	-863446.5
-14.566675092023976	175.48583898298813		Point	33	302	0	109	109	-839.39	-863435.26
-14.56694586523195	175.48627407588745		Point	34	0	15	110	110	-813.6	-863451.31
-14.5678197625636	175.48757041316472		Point	35	134	0	111	111	-736.76	-863503.11
-14.568652158207298	175.48875000585642		Point	36	534	0	112	112	-666.84	-863552.45
-14.568899481274519	175.489050808741		Point	37	0	29	113	113	-649.01	-863567.11
-14.56889813162613	175.48904659108982		Point	37	182	44	114	114	-649.26	-863567.03
-14.568893913974918	175.48903275719383		Point	37	184	0	116	116	-650.08	-863566.78
-14.56949147079899	175.49102939327878		Point	38	156	0	117	117	-531.73	-863602.2
-14.570013109901202	175.49142517766876		Point	39	164	0	118	118	-508.27	-863633.12
-14.570342930226179	175.49236470165332		Point	40	208	0	120	120	-452.58	-863652.67
-14.57128802151033	175.49231020959962		Point	41	202	0	121	121	-455.81	-863708.69
-14.571699158150725	175.49246727493085		Point	42	4	26	122	122	-446.5	-863733.06
-14.572941678198523	175.49440891284397		Point	43	264	0	123	123	-331.41	-863806.71
-14.573471415191069	175.49571385412972		Point	44	190	0	124	124	-254.06	-863838.11
-14.57444636744582	175.49655468507586		Point	45	260	0	125	125	-204.22	-863895.9
-14.57525008306126	175.49719812994516		Point	46	0	26	126	126	-166.08	-863943.54
-14.575450843259071	175.49870838649204		Point	47	234	0	127	127	-76.56	-863955.44
-14.576052955146457	175.49986199845225		Point	48	282	0	128	128	-8.18	-863991.13
-14.57651504101352	175.50071666329438		Point	49	134	0	129	129	42.48	-864018.52
-14.576791044109	175.50131978741803		Point	50	188	0	130	130	78.23	-864034.88
-14.576955869918464	175.50157891990867		Point	52	0	0	132	133	93.59	-864044.65
-14.577322636868079	175.5019870198402		Point	52	158	0	133	133	117.78	-864066.39
-14.578323232442212	175.50371440107162		Point	53	238	0	134	134	220.17	-864125.7
-14.578811467746807	175.50447847076563		Point	54	182	0	135	141	265.46	-864154.64
-14.578811467746807	175.5044637933394		Point	54	186	0	141	142	264.59	-864154.64
-14.57907836071566	175.50477606823534		Point	54	300	0	142	142	283.1	-864170.46
-14.579911768595654	175.50615405924015		Point	55	286	0	143	143	364.78	-864219.86
-14.579788107062045	175.5065053052333		Point	56	108	0	144	144	385.6	-864212.53
-14.580278704251317	175.5070259320992		Point	57	192	0	145	145	416.46	-864241.61
-14.581033326406622	175.50831585854667		Point	58	162	0	146	146	492.92	-864286.34
-14.581416626549	175.5093203343599		Point	59	176	0	147	147	552.46	-864309.06
-14.582146111503064	175.51028027177634		Point	60	316	0	148	148	609.36	-864352.3
-14.582141050321605	175.51029343084812		Point	62	0	0	150	151	610.14	-864352
